no,id_wa,tanggal_daftar,nama_wilayah_adat,provinsi,kabupaten_kota,kecamatan,peta,status,kebijakan,url_detail
708,cG1CZUdBZmxkZ3c,22 Apr 2012,Lohak Ampang Delapan,Riau,INDRAGIRI HULU,Rakit Kulim,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/cG1CZUdBZmxkZ3c
709,OEZKc0lwVXYwM0U,19 Ags 2015,Lohak Talang Tujuh Buah Tangga,Riau,INDRAGIRI HULU,Rakit Kulim,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/OEZKc0lwVXYwM0U
710,Y1FYTTRQUGc2QjQ,19 Ags 2015,Cinaku Kecil,Riau,INDRAGIRI HULU,Batang Cimaku,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Y1FYTTRQUGc2QjQ
711,em1WWnBrT0gyZFk,19 Ags 2015,Lohak Kebatinan Pembubung,Riau,INDRAGIRI HULU,Batang cenaku,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/em1WWnBrT0gyZFk
712,LVVIM1dKRnhtLVk,28 Ags 2015,Lohak Rio Sanglap,Riau,INDRAGIRI HULU,Batang Tenaku,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/LVVIM1dKRnhtLVk
713,STZyM21OWWp6V3M,19 Ags 2015,Kenegrian kuntu toeroba,Riau,KAMPAR,Kampar Kiri,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/STZyM21OWWp6V3M
714,Z1U3NERhbEJZWjg,14 Ags 2015,Steling,Nusa Tenggara Barat,LOMBOK TENGAH,Batukliang Utara,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Z1U3NERhbEJZWjg
715,cFlQTHJfY1NJclU,14 Ags 2015,Lantan,Nusa Tenggara Barat,LOMBOK TENGAH,Batukliang Utara,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/cFlQTHJfY1NJclU
716,RVB4ejJIUjFGaVk,14 Ags 2015,Karang Sidemen,Nusa Tenggara Barat,LOMBOK TENGAH,Batukliang Utara,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RVB4ejJIUjFGaVk
717,Qll1R2lUaEpKS1k,14 Nop 2012,Natar Runut,Nusa Tenggara Timur,SIKKA,Waegete,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/Qll1R2lUaEpKS1k
718,UWR4b3ZrOHZ5aDQ,14 Nop 2012,Natar Ili Wuli_Darat Gunung,Nusa Tenggara Timur,SIKKA,Talibura,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/UWR4b3ZrOHZ5aDQ
719,ZEoza2ItOTFoaWs,14 Nop 2012,Hikong,Nusa Tenggara Timur,SIKKA,Talibura,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/ZEoza2ItOTFoaWs
720,TVlSMUVVb3lrZUE,14 Nop 2012,Lewomada,Nusa Tenggara Timur,SIKKA,Talibura,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/TVlSMUVVb3lrZUE
721,S0kzLTI0aUc0aVE,14 Nop 2012,Ojang,Nusa Tenggara Timur,SIKKA,Talibura,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/S0kzLTI0aUc0aVE
722,MTNzR2xyUWRNUk0,14 Nop 2012,Timu Tawa,Nusa Tenggara Timur,SIKKA,Talibura,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/MTNzR2xyUWRNUk0
723,M0dZNXJLanZiQXM,14 Nop 2012,Golo Worok,Nusa Tenggara Timur,MANGGARAI BARAT,Kuwus,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/M0dZNXJLanZiQXM
724,RnV1T0JjZ19zVzg,14 Nop 2012,Bangkalelak,Nusa Tenggara Timur,MANGGARAI TIMUR,Ruteng,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RnV1T0JjZ19zVzg
725,OTVTNWVXbC1yY2M,14 Nop 2012,Gelong,Nusa Tenggara Timur,MANGGARAI TIMUR,"Kuwus, Ruteng",Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/OTVTNWVXbC1yY2M
726,d2lmOW9zdzgxbkU,14 Nop 2012,Meler,Nusa Tenggara Timur,MANGGARAI TIMUR,Ruteng,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/d2lmOW9zdzgxbkU
727,RHlLOHlfNkFRUXc,14 Nop 2012,Gelarang Nancur,Nusa Tenggara Timur,MANGGARAI TIMUR,Elar Selatan,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/RHlLOHlfNkFRUXc
728,Z2V5T05WZndDRzA,22 Apr 2012,Gelarang Linus,Nusa Tenggara Timur,MANGGARAI TIMUR,Elar Selatan,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/Z2V5T05WZndDRzA
729,cWZ2V0VvTkpkYlE,22 Apr 2011,Gelarang  Ladar,Nusa Tenggara Timur,MANGGARAI TIMUR,Elar,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/cWZ2V0VvTkpkYlE
730,d0FOdFFkUkR5UDA,14 Nop 2012,Golo Wuas,Nusa Tenggara Timur,MANGGARAI,Elar,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/d0FOdFFkUkR5UDA
731,aDdQcXI0dlpyRVE,14 Nop 2012,Lempang Paji,Nusa Tenggara Timur,MANGGARAI,Elar,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/aDdQcXI0dlpyRVE
732,MVhkWXhscjh0bGc,14 Nop 2012,Ilin Medo,Nusa Tenggara Timur,SIKKA,Talibura,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/MVhkWXhscjh0bGc
733,d09UZTRiaTBScDg,14 Nop 2012,Natar Mage,Nusa Tenggara Timur,SIKKA,Waiblama,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/d09UZTRiaTBScDg
734,S0xCRkxQSVZDSms,14 Nop 2012,Pruda,Nusa Tenggara Timur,SIKKA,Talibura,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/S0xCRkxQSVZDSms
735,bnpXaE5wU3Q3bzA,14 Nop 2012,Tanarawa,Nusa Tenggara Timur,SIKKA,Talibura,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/bnpXaE5wU3Q3bzA
736,SXJHNUhBVFZYZlk,14 Nop 2012,Lipu Mpoa,Sulawesi Tengah,TOJO UNA-UNA,Ampanan Tete,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/SXJHNUhBVFZYZlk
737,SXM2SVhlZXVjOVU,08 Nop 2012,Lipu Vananga Bulang,Sulawesi Tengah,TOJO UNA-UNA,Ulubongka,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/SXM2SVhlZXVjOVU
738,OHNCWkFzNjh2cFk,02 Sep 2014,Negeri Paperu,Maluku,MALUKU TENGAH,Saparua,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/OHNCWkFzNjh2cFk
739,amJtZW9tSUxYV0k,14 Nop 2012,Wana Kayupoli,Sulawesi Tengah,MOROWALI,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/amJtZW9tSUxYV0k
740,V05Xemg5dGwtWFU,14 Nop 2012,Werang,Nusa Tenggara Timur,SIKKA,Talibura,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/V05Xemg5dGwtWFU
741,UTIzbHVaNTRYenc,25 Apr 2012,Pagu Isam,Maluku Utara,HALMAHERA UTARA,Malifut dan Kao Teluk,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/UTIzbHVaNTRYenc
742,SXlpTXU4cVluUmM,13 Ags 2015,Kalam,Kalimantan Barat,KETAPANG,Ketungau,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/SXlpTXU4cVluUmM
743,amJXMUQ5LTZ4NXc,12 Nop 2012,Kamang,Nusa Tenggara Timur,ALOR,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/amJXMUQ5LTZ4NXc
744,MHFKYkcwbEdQTms,13 Ags 2015,Kayu Bunga,Kalimantan Barat,KETAPANG,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/MHFKYkcwbEdQTms
745,VFpGNDBFdzNjMkU,15 Jul 2013,Bungayo,Sulawesi Tengah,TOJO UNA-UNA,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/VFpGNDBFdzNjMkU
746,ckIzVDhJOWVhN28,13 Ags 2015,Punan Setarap,Kalimantan Utara,MALINAU,Mentarang,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/ckIzVDhJOWVhN28
747,c0NJbGRSVGJDSXM,15 Jul 2013,O Hongana Manyawa O Dodaga,Maluku Utara,HALMAHERA TIMUR,Wasilei Timur,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/c0NJbGRSVGJDSXM
748,QVFUTU01R2hmRTA,13 Ags 2015,Pnu Fritu,Maluku Utara,HALMAHERA TENGAH,Weda Utara,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/QVFUTU01R2hmRTA
749,blVicERFSFhGeE0,15 Okt 2012,Bulili,Sulawesi Tengah,POSO,Lore Selatan,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/blVicERFSFhGeE0
